compression,eb,mean,var,max_kl_shift,time_kl_shift,max_level_shift,time_level_shift,max_var_shift,time_var_shift,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,seas_acf1,ARCH.LM,crossing_points,entropy,flat_spots,alpha,beta,hurst,lumpiness,nonlinearity,x_pacf5,diff1x_pacf5,diff2x_pacf5,seas_pacf,stability,unitroot_kpss,unitroot_pp,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,seasonal_strength,peak,trough,data,TFE
SZ,0.03,-0.0017026256533686334,0.00032310254071529033,0.13819629913946047,0.0,-0.00644354844594722,0.0,0.0050175323260952046,0.0,-0.0009809236401644404,-0.0026998982813258975,-0.7291381056275282,-0.7627067707804187,0.1692137240544297,0.35317432792253295,-0.00037842816003815687,-0.009103288181880184,0.03007518796992481,0.0018657357643834293,-0.004901960784313725,-0.14487721799768732,-0.561740201623504,0.0,-0.0009323628724262607,10.742104237053058,-0.2636227346477114,-0.6164027320772462,1.0690283661419595,-0.0004499715117213179,-0.0018332915736019766,0.0008910045374960503,0.012326112076423989,0.0,0.0,0.003974862575183357,-0.1280019387567528,0.0038441413955742987,0.0076100621576516555,-0.010859638581860339,-0.032424255292172265,0.01704652688359748,0.017543859649122806,-0.03225806451612903,ettm2,0.0042661307316229
SZ,0.03,-0.0017026256533686334,0.00032310254071529033,0.13819629913946047,0.0,-0.00644354844594722,0.0,0.0050175323260952046,0.0,-0.0009809236401644404,-0.0026998982813258975,-0.7291381056275282,-0.7627067707804187,0.1692137240544297,0.35317432792253295,-0.00037842816003815687,-0.009103288181880184,0.03007518796992481,0.0018657357643834293,-0.004901960784313725,-0.14487721799768732,-0.561740201623504,0.0,-0.0009323628724262607,10.742104237053058,-0.2636227346477114,-0.6164027320772462,1.0690283661419595,-0.0004499715117213179,-0.0018332915736019766,0.0008910045374960503,0.012326112076423989,0.0,0.0,0.003974862575183357,-0.1280019387567528,0.0038441413955742987,0.0076100621576516555,-0.010859638581860339,-0.032424255292172265,0.01704652688359748,0.017543859649122806,-0.03225806451612903,ettm2,0.0162701869690873
SZ,0.03,-0.0017026256533686334,0.00032310254071529033,0.13819629913946047,0.0,-0.00644354844594722,0.0,0.0050175323260952046,0.0,-0.0009809236401644404,-0.0026998982813258975,-0.7291381056275282,-0.7627067707804187,0.1692137240544297,0.35317432792253295,-0.00037842816003815687,-0.009103288181880184,0.03007518796992481,0.0018657357643834293,-0.004901960784313725,-0.14487721799768732,-0.561740201623504,0.0,-0.0009323628724262607,10.742104237053058,-0.2636227346477114,-0.6164027320772462,1.0690283661419595,-0.0004499715117213179,-0.0018332915736019766,0.0008910045374960503,0.012326112076423989,0.0,0.0,0.003974862575183357,-0.1280019387567528,0.0038441413955742987,0.0076100621576516555,-0.010859638581860339,-0.032424255292172265,0.01704652688359748,0.017543859649122806,-0.03225806451612903,ettm2,0.0203864762413109
SZ,0.05,-0.0041313234260300915,-0.006072545578048188,0.17838841251700915,-0.9068591167036762,-0.009213762282515667,-0.0002913752913752914,0.001328978119102483,0.0,-0.002042805110388592,-0.0067937199951755515,-0.8928000854949171,-0.9132422225008222,0.05147042672749788,0.04409445873991085,-0.0038433167291148903,-0.017381655758177912,-0.07518796992481203,0.005478969723345119,0.0,-0.02278355755279175,-0.7134630594165162,0.0,0.0177231219191428,19.259590209050636,-0.3683563205981074,-0.8346424624179658,1.0009713853827213,-0.3862922550662303,-0.003982996983466349,-0.0029095477318609084,0.029555308069894013,0.0,0.0,0.005920576867793907,-0.24106256693468017,0.0036606827202295624,-0.003689375293044232,-0.022947406141790354,-0.07457516545158976,0.027777330076836065,0.0,0.0,ettm2,0.011237018537952
SZ,0.05,-0.0041313234260300915,-0.006072545578048188,0.17838841251700915,-0.9068591167036762,-0.009213762282515667,-0.0002913752913752914,0.001328978119102483,0.0,-0.002042805110388592,-0.0067937199951755515,-0.8928000854949171,-0.9132422225008222,0.05147042672749788,0.04409445873991085,-0.0038433167291148903,-0.017381655758177912,-0.07518796992481203,0.005478969723345119,0.0,-0.02278355755279175,-0.7134630594165162,0.0,0.0177231219191428,19.259590209050636,-0.3683563205981074,-0.8346424624179658,1.0009713853827213,-0.3862922550662303,-0.003982996983466349,-0.0029095477318609084,0.029555308069894013,0.0,0.0,0.005920576867793907,-0.24106256693468017,0.0036606827202295624,-0.003689375293044232,-0.022947406141790354,-0.07457516545158976,0.027777330076836065,0.0,0.0,ettm2,0.0558314312202313
SZ,0.05,-0.0041313234260300915,-0.006072545578048188,0.17838841251700915,-0.9068591167036762,-0.009213762282515667,-0.0002913752913752914,0.001328978119102483,0.0,-0.002042805110388592,-0.0067937199951755515,-0.8928000854949171,-0.9132422225008222,0.05147042672749788,0.04409445873991085,-0.0038433167291148903,-0.017381655758177912,-0.07518796992481203,0.005478969723345119,0.0,-0.02278355755279175,-0.7134630594165162,0.0,0.0177231219191428,19.259590209050636,-0.3683563205981074,-0.8346424624179658,1.0009713853827213,-0.3862922550662303,-0.003982996983466349,-0.0029095477318609084,0.029555308069894013,0.0,0.0,0.005920576867793907,-0.24106256693468017,0.0036606827202295624,-0.003689375293044232,-0.022947406141790354,-0.07457516545158976,0.027777330076836065,0.0,0.0,ettm2,0.0392112202455598
SZ,0.05,-0.0041313234260300915,-0.006072545578048188,0.17838841251700915,-0.9068591167036762,-0.009213762282515667,-0.0002913752913752914,0.001328978119102483,0.0,-0.002042805110388592,-0.0067937199951755515,-0.8928000854949171,-0.9132422225008222,0.05147042672749788,0.04409445873991085,-0.0038433167291148903,-0.017381655758177912,-0.07518796992481203,0.005478969723345119,0.0,-0.02278355755279175,-0.7134630594165162,0.0,0.0177231219191428,19.259590209050636,-0.3683563205981074,-0.8346424624179658,1.0009713853827213,-0.3862922550662303,-0.003982996983466349,-0.0029095477318609084,0.029555308069894013,0.0,0.0,0.005920576867793907,-0.24106256693468017,0.0036606827202295624,-0.003689375293044232,-0.022947406141790354,-0.07457516545158976,0.027777330076836065,0.0,0.0,ettm2,0.0392112146031754
SZ,0.05,-0.0041313234260300915,-0.006072545578048188,0.17838841251700915,-0.9068591167036762,-0.009213762282515667,-0.0002913752913752914,0.001328978119102483,0.0,-0.002042805110388592,-0.0067937199951755515,-0.8928000854949171,-0.9132422225008222,0.05147042672749788,0.04409445873991085,-0.0038433167291148903,-0.017381655758177912,-0.07518796992481203,0.005478969723345119,0.0,-0.02278355755279175,-0.7134630594165162,0.0,0.0177231219191428,19.259590209050636,-0.3683563205981074,-0.8346424624179658,1.0009713853827213,-0.3862922550662303,-0.003982996983466349,-0.0029095477318609084,0.029555308069894013,0.0,0.0,0.005920576867793907,-0.24106256693468017,0.0036606827202295624,-0.003689375293044232,-0.022947406141790354,-0.07457516545158976,0.027777330076836065,0.0,0.0,ettm2,0.006476515145533
SZ,0.07,-0.0037191431973789104,-0.004512642814127641,0.558718764362123,-0.9058721934369602,0.012930007067509082,-0.00043706293706293706,-0.03717069627790508,0.0006201935003721161,-0.003533694062125046,-0.011702733769355675,-1.0621743350938724,-0.9644132399815526,0.11546299363148799,0.2284196882569729,-0.007034441386785996,-0.026533004557979457,0.09022556390977443,0.010252082868306433,-0.07352941176470588,-0.029052635046206112,-0.7871547119907571,0.0,-0.02153302730177438,27.222849739954594,-0.40447016354847115,-0.9171413890708745,1.0859954273234345,-0.396547436640445,-0.004779457104444451,-0.004363676769195668,0.04965346448949122,0.0,0.0,0.005289458065887623,-0.24908045189282504,0.007716162092058327,-0.007420002028466944,-0.03914780321910957,-0.134616761652997,0.025014658656015265,0.0,0.0,ettm2,0.0248826622563789
SZ,0.07,-0.0037191431973789104,-0.004512642814127641,0.558718764362123,-0.9058721934369602,0.012930007067509082,-0.00043706293706293706,-0.03717069627790508,0.0006201935003721161,-0.003533694062125046,-0.011702733769355675,-1.0621743350938724,-0.9644132399815526,0.11546299363148799,0.2284196882569729,-0.007034441386785996,-0.026533004557979457,0.09022556390977443,0.010252082868306433,-0.07352941176470588,-0.029052635046206112,-0.7871547119907571,0.0,-0.02153302730177438,27.222849739954594,-0.40447016354847115,-0.9171413890708745,1.0859954273234345,-0.396547436640445,-0.004779457104444451,-0.004363676769195668,0.04965346448949122,0.0,0.0,0.005289458065887623,-0.24908045189282504,0.007716162092058327,-0.007420002028466944,-0.03914780321910957,-0.134616761652997,0.025014658656015265,0.0,0.0,ettm2,0.0743239615596755
