compression,eb,mean,var,max_kl_shift,time_kl_shift,max_level_shift,time_level_shift,max_var_shift,time_var_shift,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,seas_acf1,ARCH.LM,crossing_points,entropy,flat_spots,alpha,beta,hurst,lumpiness,nonlinearity,x_pacf5,diff1x_pacf5,diff2x_pacf5,seas_pacf,stability,unitroot_kpss,unitroot_pp,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,seasonal_strength,peak,trough,data,te,TFE
SZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ettm2,0.0,0.0
SWING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ettm2,0.0,0.0
PMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ettm2,0.0,0.0
SZ,0.01,-0.00010555183741622898,-0.03398295993562783,0.11429410392930173,0.0,-0.0007392118897944222,0.0,-0.008831898625695889,0.0,-0.00010216008592522918,-0.001774821397896531,-0.10485892471947411,-0.7135169800665495,-0.03744197343944555,0.039160489435218826,0.00013363703760582712,-0.0012870222661072184,-4.0,0.0008422104727101587,3.0,-0.020571735869768792,-0.11370259152405227,0.0,-0.00021803559859949473,0.0005051965802343,-0.08667387917229341,-0.10528054387358265,0.09380691161515237,-0.0015617877472470995,0.00023596374899303996,0.05124039273669467,0.005767234338222238,0.0,0.0,0.0007855689238803754,-7.0290331423361e-12,-0.13327766111547135,0.009886398712847466,-0.0011102474431297082,-0.030398214672246127,0.0014864709484189165,0.0,0.0,ettm2,0.0023041877429932,0.0045105378782695
SZ,0.01,-0.00010555183741622898,-0.03398295993562783,0.11429410392930173,0.0,-0.0007392118897944222,0.0,-0.008831898625695889,0.0,-0.00010216008592522918,-0.001774821397896531,-0.10485892471947411,-0.7135169800665495,-0.03744197343944555,0.039160489435218826,0.00013363703760582712,-0.0012870222661072184,-4.0,0.0008422104727101587,3.0,-0.020571735869768792,-0.11370259152405227,0.0,-0.00021803559859949473,0.0005051965802343,-0.08667387917229341,-0.10528054387358265,0.09380691161515237,-0.0015617877472470995,0.00023596374899303996,0.05124039273669467,0.005767234338222238,0.0,0.0,0.0007855689238803754,-7.0290331423361e-12,-0.13327766111547135,0.009886398712847466,-0.0011102474431297082,-0.030398214672246127,0.0014864709484189165,0.0,0.0,ettm2,0.0023041877429932,-0.0002719866696599
SZ,0.01,-0.00010555183741622898,-0.03398295993562783,0.11429410392930173,0.0,-0.0007392118897944222,0.0,-0.008831898625695889,0.0,-0.00010216008592522918,-0.001774821397896531,-0.10485892471947411,-0.7135169800665495,-0.03744197343944555,0.039160489435218826,0.00013363703760582712,-0.0012870222661072184,-4.0,0.0008422104727101587,3.0,-0.020571735869768792,-0.11370259152405227,0.0,-0.00021803559859949473,0.0005051965802343,-0.08667387917229341,-0.10528054387358265,0.09380691161515237,-0.0015617877472470995,0.00023596374899303996,0.05124039273669467,0.005767234338222238,0.0,0.0,0.0007855689238803754,-7.0290331423361e-12,-0.13327766111547135,0.009886398712847466,-0.0011102474431297082,-0.030398214672246127,0.0014864709484189165,0.0,0.0,ettm2,0.0023041877429932,0.0001933832701612
SZ,0.01,-0.00010555183741622898,-0.03398295993562783,0.11429410392930173,0.0,-0.0007392118897944222,0.0,-0.008831898625695889,0.0,-0.00010216008592522918,-0.001774821397896531,-0.10485892471947411,-0.7135169800665495,-0.03744197343944555,0.039160489435218826,0.00013363703760582712,-0.0012870222661072184,-4.0,0.0008422104727101587,3.0,-0.020571735869768792,-0.11370259152405227,0.0,-0.00021803559859949473,0.0005051965802343,-0.08667387917229341,-0.10528054387358265,0.09380691161515237,-0.0015617877472470995,0.00023596374899303996,0.05124039273669467,0.005767234338222238,0.0,0.0,0.0007855689238803754,-7.0290331423361e-12,-0.13327766111547135,0.009886398712847466,-0.0011102474431297082,-0.030398214672246127,0.0014864709484189165,0.0,0.0,ettm2,0.0023041877429932,0.0019553177361964
SZ,0.01,-0.00010555183741622898,-0.03398295993562783,0.11429410392930173,0.0,-0.0007392118897944222,0.0,-0.008831898625695889,0.0,-0.00010216008592522918,-0.001774821397896531,-0.10485892471947411,-0.7135169800665495,-0.03744197343944555,0.039160489435218826,0.00013363703760582712,-0.0012870222661072184,-4.0,0.0008422104727101587,3.0,-0.020571735869768792,-0.11370259152405227,0.0,-0.00021803559859949473,0.0005051965802343,-0.08667387917229341,-0.10528054387358265,0.09380691161515237,-0.0015617877472470995,0.00023596374899303996,0.05124039273669467,0.005767234338222238,0.0,0.0,0.0007855689238803754,-7.0290331423361e-12,-0.13327766111547135,0.009886398712847466,-0.0011102474431297082,-0.030398214672246127,0.0014864709484189165,0.0,0.0,ettm2,0.0023041877429932,0.0019553207880046
SZ,0.03,-0.024667110315506946,0.016573923696334703,0.5996389548305139,0.0,-0.008123464909870481,0.0,0.005598769092403311,0.0,-0.0009797721808255666,-0.02530078014747339,-0.5665469626174024,-2.991168738195157,-0.08915487329973315,0.10453481750912463,-0.00032813813326681984,-0.009087945084924498,4.0,0.0010865851317216624,-1.0,-0.11076043953144832,-0.340887130595639,0.0,-5.7164761907993467e-05,0.0073872023122456,-0.46322794384927124,-0.5268770169859296,0.34174144543205426,2.2523091144699414e-05,-0.0013239410564015452,0.035205292104762975,-1.4322993646003823,0.0,0.0,0.003516932624209046,-4.2168031431053254e-11,-0.26059318925830155,0.20761669197058197,-0.010793582390436929,-0.24473930537964872,0.010868444584096748,1.0,-1.0,ettm2,0.0066075017675757,0.0016609755717537
SZ,0.03,-0.024667110315506946,0.016573923696334703,0.5996389548305139,0.0,-0.008123464909870481,0.0,0.005598769092403311,0.0,-0.0009797721808255666,-0.02530078014747339,-0.5665469626174024,-2.991168738195157,-0.08915487329973315,0.10453481750912463,-0.00032813813326681984,-0.009087945084924498,4.0,0.0010865851317216624,-1.0,-0.11076043953144832,-0.340887130595639,0.0,-5.7164761907993467e-05,0.0073872023122456,-0.46322794384927124,-0.5268770169859296,0.34174144543205426,2.2523091144699414e-05,-0.0013239410564015452,0.035205292104762975,-1.4322993646003823,0.0,0.0,0.003516932624209046,-4.2168031431053254e-11,-0.26059318925830155,0.20761669197058197,-0.010793582390436929,-0.24473930537964872,0.010868444584096748,1.0,-1.0,ettm2,0.0066075017675757,0.0162701849616058
