compression,eb,data,metric,decompression error
sz,0.5,ettm1,rse,0.5070471167564392
sz,0.65,ettm1,rse,0.7542377710342407
sz,0.8,ettm1,rse,1.2337496280670166
pmc,0.01,ettm1,rse,0.0080613261088728
pmc,0.03,ettm1,rse,0.0270050223916769
pmc,0.05,ettm1,rse,0.0437810160219669
pmc,0.07,ettm1,rse,0.0580716244876384
pmc,0.1,ettm1,rse,0.0778484567999839
pmc,0.15,ettm1,rse,0.1137671768665313
pmc,0.2,ettm1,rse,0.1456780880689621
pmc,0.25,ettm1,rse,0.1820386499166488
pmc,0.3,ettm1,rse,0.2093007266521453
pmc,0.4,ettm1,rse,0.2594919502735138
pmc,0.5,ettm1,rse,0.2958347499370575
pmc,0.65,ettm1,rse,0.3240930736064911
pmc,0.8,ettm1,rse,0.3479969203472137
swing,0.01,ettm1,rse,0.007191308774054
swing,0.03,ettm1,rse,0.0281374454498291
swing,0.05,ettm1,rse,0.0482413992285728
swing,0.07,ettm1,rse,0.0658653378486633
swing,0.1,ettm1,rse,0.0925649106502533
swing,0.15,ettm1,rse,0.1390810757875442
swing,0.2,ettm1,rse,0.1824845820665359
swing,0.25,ettm1,rse,0.2379653304815292
swing,0.3,ettm1,rse,0.2696636319160461
swing,0.4,ettm1,rse,0.3849818110466003
swing,0.5,ettm1,rse,0.5120792388916016
swing,0.65,ettm1,rse,0.7194289565086365
swing,0.8,ettm1,rse,1.1937769651412964
sz,0.01,ettm1,corr,0.9999528527259828
sz,0.03,ettm1,corr,0.9995721578598022
sz,0.05,ettm1,corr,0.9988387823104858
sz,0.07,ettm1,corr,0.9976374506950378
sz,0.1,ettm1,corr,0.9953733086586
sz,0.15,ettm1,corr,0.9910993576049804
sz,0.2,ettm1,corr,0.9848470091819764
sz,0.25,ettm1,corr,0.9740981459617616
sz,0.3,ettm1,corr,0.9723473191261292
sz,0.4,ettm1,corr,0.9488222002983092
sz,0.5,ettm1,corr,0.9224156141281128
sz,0.65,ettm1,corr,0.8905190825462341
sz,0.8,ettm1,corr,0.8377549052238464
pmc,0.01,ettm1,corr,0.9999675750732422
pmc,0.03,ettm1,corr,0.9996352791786194
pmc,0.05,ettm1,corr,0.9990412592887878
pmc,0.07,ettm1,corr,0.9983125925064088
pmc,0.1,ettm1,corr,0.9969652891159058
pmc,0.15,ettm1,corr,0.99350768327713
pmc,0.2,ettm1,corr,0.989332377910614
pmc,0.25,ettm1,corr,0.9832921028137208
pmc,0.3,ettm1,corr,0.9778544306755066
pmc,0.4,ettm1,corr,0.9657556414604188
pmc,0.5,ettm1,corr,0.9552452564239502
pmc,0.65,ettm1,corr,0.9461191296577454
pmc,0.8,ettm1,corr,0.9375617504119872
swing,0.01,ettm1,corr,0.9999741315841676
swing,0.03,ettm1,corr,0.9996047019958496
swing,0.05,ettm1,corr,0.9988417029380798
swing,0.07,ettm1,corr,0.9978349208831788
swing,0.1,ettm1,corr,0.9957206845283508
swing,0.15,ettm1,corr,0.9903947710990906
swing,0.2,ettm1,corr,0.9834367036819458
swing,0.25,ettm1,corr,0.9729682207107544
swing,0.3,ettm1,corr,0.9645240306854248
swing,0.4,ettm1,corr,0.9432805180549622
swing,0.5,ettm1,corr,0.9025612473487854
swing,0.65,ettm1,corr,0.8644999265670776
swing,0.8,ettm1,corr,0.8105186223983765
sz,0.01,ettm2,mae,0.0706034898757934
sz,0.03,ettm2,mae,0.1997058391571045
sz,0.05,ettm2,mae,0.3346395492553711
sz,0.07,ettm2,mae,0.4661480486392975
sz,0.1,ettm2,mae,0.6452266573905945
sz,0.15,ettm2,mae,0.9787404537200928
sz,0.2,ettm2,mae,1.3118575811386108
sz,0.25,ettm2,mae,1.656604290008545
sz,0.3,ettm2,mae,1.9095975160598757
sz,0.4,ettm2,mae,2.6400394439697266
sz,0.5,ettm2,mae,3.4886507987976074
sz,0.65,ettm2,mae,5.684503078460693
sz,0.8,ettm2,mae,8.960371017456055
pmc,0.01,ettm2,mae,0.038671888411045
pmc,0.03,ettm2,mae,0.1783733069896698
pmc,0.05,ettm2,mae,0.2971934080123901
pmc,0.07,ettm2,mae,0.4153048098087311
pmc,0.1,ettm2,mae,0.5710217952728271
pmc,0.15,ettm2,mae,0.8199973106384277
pmc,0.2,ettm2,mae,1.066137194633484
pmc,0.25,ettm2,mae,1.3318312168121338
pmc,0.3,ettm2,mae,1.5938100814819336
pmc,0.4,ettm2,mae,2.070590019226074
pmc,0.5,ettm2,mae,2.388835191726685
pmc,0.65,ettm2,mae,2.685751676559448
pmc,0.8,ettm2,mae,2.9287142753601074
swing,0.01,ettm2,mae,0.0532958507537841
swing,0.03,ettm2,mae,0.1873831152915954
swing,0.05,ettm2,mae,0.335199624300003
swing,0.07,ettm2,mae,0.4774385094642639
swing,0.1,ettm2,mae,0.7145553827285767
swing,0.15,ettm2,mae,1.09906005859375
swing,0.2,ettm2,mae,1.473058581352234
swing,0.25,ettm2,mae,1.8555325269699097
