error,mae,rmse,nrmse,rse,corr,data_corr,eb,eblc,data
0.0,0.17214778,0.2483094,0.040297635,0.28718472,0.9607022,1.0,0.0,baseline,aus
0.004057503771036863,0.17471366,0.25144997,0.04080731,0.290817,0.9593802,0.9995841383934021,0.01,sz,aus
0.01208622008562088,0.18856853,0.26711628,0.043349765,0.308936,0.95239943,0.9963441491127014,0.03,sz,aus
0.019871201366186142,0.20623094,0.29154143,0.047313675,0.33718514,0.9420113,0.9902282953262329,0.05,sz,aus
0.027572812512516975,0.23263618,0.33097124,0.05371266,0.3827881,0.9258132,0.981465756893158,0.07,sz,aus
0.04003940150141716,0.2778879,0.3870714,0.062817045,0.44767132,0.9046345,0.9627144932746887,0.1,sz,aus
0.05779527127742767,0.37240738,0.51397675,0.08341226,0.5944449,0.8598067,0.9301509857177734,0.15,sz,aus
0.07415620237588882,0.4700955,0.6255601,0.101520896,0.7234978,0.79495245,0.888625979423523,0.2,sz,aus
0.09785999357700348,0.5571768,0.71796346,0.11651685,0.83036774,0.72492456,0.8455175161361694,0.25,sz,aus
0.1264057755470276,0.6686341,0.8250966,0.13390328,0.9542737,0.65845805,0.7910627126693726,0.3,sz,aus
0.18382665514945984,0.9368891,1.1291479,0.18324715,1.3059273,0.5647708,0.6260331273078918,0.4,sz,aus
0.2536146640777588,1.0765215,1.2708424,0.20624247,1.4698055,0.5131936,0.5709723830223083,0.5,sz,aus
0.3042325973510742,1.3331501,1.5289986,0.24813811,1.7683786,0.5004396,0.4175652265548706,0.65,sz,aus
0.4639388620853424,1.6443007,1.832348,0.29736808,2.1192205,0.46525487,0.7910094857215881,0.8,sz,aus
0.003482348285615444,0.17475733,0.24943739,0.040480696,0.28848928,0.9595637,0.999692440032959,1.0,pmc,aus
0.012448654510080814,0.18976903,0.2682964,0.043541282,0.31030086,0.952779,0.9960629343986511,3.0,pmc,aus
0.01941792294383049,0.20774628,0.29464597,0.047817502,0.34077573,0.94125557,0.9903934001922607,5.0,pmc,aus
0.026015589013695717,0.23785684,0.33910146,0.055032097,0.39219117,0.923285,0.9826892018318176,7.0,pmc,aus
0.034696660935878754,0.28140306,0.3950764,0.06411616,0.45692956,0.8973098,0.9689946174621582,10.0,pmc,aus
0.04794355109333992,0.37644374,0.5116336,0.08303199,0.5917349,0.82638985,0.9399126172065735,15.0,pmc,aus
0.06206590682268143,0.44831914,0.60015357,0.097397715,0.6941136,0.74922687,0.8970233798027039,20.0,pmc,aus
0.08062482625246048,0.4550497,0.60086656,0.09751343,0.69493824,0.72936016,0.8187538385391235,25.0,pmc,aus
0.09702510386705399,0.49557498,0.6394973,0.10378273,0.739617,0.6867862,0.7229176163673401,30.0,pmc,aus
0.11487423628568649,0.5665882,0.71451586,0.11595735,0.82638043,0.597121,0.5751596689224243,40.0,pmc,aus
0.12647110223770142,0.5871675,0.7374696,0.11968246,0.8529278,0.5418258,0.43459782004356384,50.0,pmc,aus
0.13711710274219513,0.6161915,0.77734876,0.12615436,0.8990504,0.4582658,0.21677613258361816,65.0,pmc,aus
0.14141945540905,0.6487647,0.81103593,0.13162139,0.9380117,0.40849888,0.04025375470519066,80.0,pmc,aus
0.003920435439795256,0.1746287,0.25058523,0.040666975,0.28981683,0.9597482,0.9996106624603271,1.0,swing,aus
0.012427234090864658,0.18635677,0.26769513,0.043443706,0.30960548,0.9523173,0.9961069822311401,3.0,swing,aus
0.020413117483258247,0.20681104,0.2886223,0.046839934,0.333809,0.946219,0.9894900918006897,5.0,swing,aus
0.02887113392353058,0.22774327,0.31352866,0.050881937,0.36261472,0.9333636,0.9788426756858826,7.0,swing,aus
0.043367911130189896,0.2867445,0.38550717,0.06256319,0.44586214,0.8991688,0.9522278904914856,10.0,swing,aus
0.0663982406258583,0.39487562,0.509451,0.082677774,0.5892107,0.8178145,0.8878125548362732,15.0,swing,aus
0.09123175591230392,0.4717774,0.613377,0.09954372,0.7094072,0.75328475,0.799135148525238,20.0,swing,aus
0.10396283864974976,0.6311103,0.7958708,0.12916027,0.92047226,0.58433276,0.7296761274337769,25.0,swing,aus
0.1284887045621872,0.7185727,0.87778366,0.14245375,1.0152094,0.47525272,0.5803085565567017,30.0,swing,aus
0.17197486758232117,0.6920792,0.8691334,0.14104992,1.0052049,0.5570404,0.3409411907196045,40.0,swing,aus
0.19393649697303772,0.76532525,0.96875376,0.1572171,1.1204219,0.41035223,0.10610966384410858,50.0,swing,aus
0.19600674510002136,0.77440333,0.9797601,0.1590033,1.1331514,0.5469602,0.0773305743932724,65.0,swing,aus
0.2564467489719391,1.0840887,1.289184,0.20921908,1.4910187,0.53028786,0.0773305743932724,80.0,swing,aus
