,eb,eblc,metric,value,model,tfe,data,te_metric,te
11,0.013,pmc,mae,0.2719534933567047,gru,0.03983421814975947,weather,corr,0.9883325695991516
12,0.013,pmc,mae,0.2815543562173843,informer,0.017225486407816168,weather,mae,2.031219959259033
12,0.013,pmc,mae,0.2815543562173843,informer,0.017225486407816168,weather,rmse,2.4789822101593018
12,0.013,pmc,mae,0.2815543562173843,informer,0.017225486407816168,weather,nrmse,0.0231897328048944
12,0.013,pmc,mae,0.2815543562173843,informer,0.017225486407816168,weather,rse,0.1523108184337616
12,0.013,pmc,mae,0.2815543562173843,informer,0.017225486407816168,weather,corr,0.9883325695991516
13,0.013,pmc,mae,0.291691243648529,nbeats,0.02516210927083351,weather,mae,2.031219959259033
13,0.013,pmc,mae,0.291691243648529,nbeats,0.02516210927083351,weather,rmse,2.4789822101593018
13,0.013,pmc,mae,0.291691243648529,nbeats,0.02516210927083351,weather,nrmse,0.0231897328048944
13,0.013,pmc,mae,0.291691243648529,nbeats,0.02516210927083351,weather,rse,0.1523108184337616
13,0.013,pmc,mae,0.291691243648529,nbeats,0.02516210927083351,weather,corr,0.9883325695991516
14,0.013,pmc,mae,0.3209947943687439,transformer,0.03234528212301464,weather,mae,2.031219959259033
14,0.013,pmc,mae,0.3209947943687439,transformer,0.03234528212301464,weather,rmse,2.4789822101593018
14,0.013,pmc,mae,0.3209947943687439,transformer,0.03234528212301464,weather,nrmse,0.0231897328048944
14,0.013,pmc,mae,0.3209947943687439,transformer,0.03234528212301464,weather,rse,0.1523108184337616
14,0.013,pmc,mae,0.3209947943687439,transformer,0.03234528212301464,weather,corr,0.9883325695991516
15,0.015,pmc,mae,0.290283665060997,dlinear,0.04052322394266257,weather,mae,2.2712252140045166
15,0.015,pmc,mae,0.290283665060997,dlinear,0.04052322394266257,weather,rmse,2.7810516357421875
15,0.015,pmc,mae,0.290283665060997,dlinear,0.04052322394266257,weather,nrmse,0.0260154511779546
15,0.015,pmc,mae,0.290283665060997,dlinear,0.04052322394266257,weather,rse,0.1708702147006988
15,0.015,pmc,mae,0.290283665060997,dlinear,0.04052322394266257,weather,corr,0.985293447971344
16,0.015,pmc,mae,0.2738489806652069,gru,0.04648015142705084,weather,mae,2.2712252140045166
16,0.015,pmc,mae,0.2738489806652069,gru,0.04648015142705084,weather,rmse,2.7810516357421875
16,0.015,pmc,mae,0.2738489806652069,gru,0.04648015142705084,weather,nrmse,0.0260154511779546
16,0.015,pmc,mae,0.2738489806652069,gru,0.04648015142705084,weather,rse,0.1708702147006988
16,0.015,pmc,mae,0.2738489806652069,gru,0.04648015142705084,weather,corr,0.985293447971344
17,0.015,pmc,mae,0.2834775894880295,informer,0.02389304924936648,weather,mae,2.2712252140045166
17,0.015,pmc,mae,0.2834775894880295,informer,0.02389304924936648,weather,rmse,2.7810516357421875
17,0.015,pmc,mae,0.2834775894880295,informer,0.02389304924936648,weather,nrmse,0.0260154511779546
17,0.015,pmc,mae,0.2834775894880295,informer,0.02389304924936648,weather,rse,0.1708702147006988
17,0.015,pmc,mae,0.2834775894880295,informer,0.02389304924936648,weather,corr,0.985293447971344
18,0.015,pmc,mae,0.2917821407318115,nbeats,0.025465794481718353,weather,mae,2.2712252140045166
18,0.015,pmc,mae,0.2917821407318115,nbeats,0.025465794481718353,weather,rmse,2.7810516357421875
18,0.015,pmc,mae,0.2917821407318115,nbeats,0.025465794481718353,weather,nrmse,0.0260154511779546
18,0.015,pmc,mae,0.2917821407318115,nbeats,0.025465794481718353,weather,rse,0.1708702147006988
18,0.015,pmc,mae,0.2917821407318115,nbeats,0.025465794481718353,weather,corr,0.985293447971344
19,0.015,pmc,mae,0.322159394621849,transformer,0.0358433360310209,weather,mae,2.2712252140045166
19,0.015,pmc,mae,0.322159394621849,transformer,0.0358433360310209,weather,rmse,2.7810516357421875
19,0.015,pmc,mae,0.322159394621849,transformer,0.0358433360310209,weather,nrmse,0.0260154511779546
19,0.015,pmc,mae,0.322159394621849,transformer,0.0358433360310209,weather,rse,0.1708702147006988
19,0.015,pmc,mae,0.322159394621849,transformer,0.0358433360310209,weather,corr,0.985293447971344
20,0.017,pmc,mae,0.2944709360599518,dlinear,0.05416663925661927,weather,mae,2.5188891887664795
20,0.017,pmc,mae,0.2944709360599518,dlinear,0.05416663925661927,weather,rmse,3.0906317234039307
20,0.017,pmc,mae,0.2944709360599518,dlinear,0.05416663925661927,weather,nrmse,0.028911430388689
20,0.017,pmc,mae,0.2944709360599518,dlinear,0.05416663925661927,weather,rse,0.1898910701274871
20,0.017,pmc,mae,0.2944709360599518,dlinear,0.05416663925661927,weather,corr,0.9818052649497986
21,0.017,pmc,mae,0.2785821110010147,gru,0.06268052303332045,weather,mae,2.5188891887664795
21,0.017,pmc,mae,0.2785821110010147,gru,0.06268052303332045,weather,rmse,3.0906317234039307
21,0.017,pmc,mae,0.2785821110010147,gru,0.06268052303332045,weather,nrmse,0.028911430388689
21,0.017,pmc,mae,0.2785821110010147,gru,0.06268052303332045,weather,rse,0.1898910701274871
21,0.017,pmc,mae,0.2785821110010147,gru,0.06268052303332045,weather,corr,0.9818052649497986
22,0.017,pmc,mae,0.287682443857193,informer,0.038160126244416316,weather,mae,2.5188891887664795
22,0.017,pmc,mae,0.287682443857193,informer,0.038160126244416316,weather,rmse,3.0906317234039307
22,0.017,pmc,mae,0.287682443857193,informer,0.038160126244416316,weather,nrmse,0.028911430388689
22,0.017,pmc,mae,0.287682443857193,informer,0.038160126244416316,weather,rse,0.1898910701274871
22,0.017,pmc,mae,0.287682443857193,informer,0.038160126244416316,weather,corr,0.9818052649497986
23,0.017,pmc,mae,0.2970321476459503,nbeats,0.04269056748216193,weather,mae,2.5188891887664795
23,0.017,pmc,mae,0.2970321476459503,nbeats,0.04269056748216193,weather,rmse,3.0906317234039307
23,0.017,pmc,mae,0.2970321476459503,nbeats,0.04269056748216193,weather,nrmse,0.028911430388689
23,0.017,pmc,mae,0.2970321476459503,nbeats,0.04269056748216193,weather,rse,0.1898910701274871
23,0.017,pmc,mae,0.2970321476459503,nbeats,0.04269056748216193,weather,corr,0.9818052649497986
24,0.017,pmc,mae,0.3288746029138565,transformer,0.05553020989514435,weather,mae,2.5188891887664795
24,0.017,pmc,mae,0.3288746029138565,transformer,0.05553020989514435,weather,rmse,3.0906317234039307
24,0.017,pmc,mae,0.3288746029138565,transformer,0.05553020989514435,weather,nrmse,0.028911430388689
24,0.017,pmc,mae,0.3288746029138565,transformer,0.05553020989514435,weather,rse,0.1898910701274871
24,0.017,pmc,mae,0.3288746029138565,transformer,0.05553020989514435,weather,corr,0.9818052649497986
25,0.02,pmc,mae,0.3012713640928268,dlinear,0.07551640052648173,weather,mae,2.880774974822998
25,0.02,pmc,mae,0.3012713640928268,dlinear,0.07551640052648173,weather,rmse,3.560198783874512
25,0.02,pmc,mae,0.3012713640928268,dlinear,0.07551640052648173,weather,nrmse,0.0333040133118629
25,0.02,pmc,mae,0.3012713640928268,dlinear,0.07551640052648173,weather,rse,0.218741700053215
