error,compression,data,eb,metrics,forecasting error,model,compression ratio
0.0,swing,solar,0.0,rse,0.3629501191749839,nbeats,1.0
0.0,sz,belhle02,0.0,rse,0.16910246759653091,nbeats,1.0
0.0,pmc,belhle02,0.0,rse,0.16910246759653091,nbeats,1.0
0.0,swing,belhle02,0.0,rse,0.16910246759653091,nbeats,1.0
0.0,sz,weather,0.0,rse,0.5111973285675049,nbeats,1.0
0.0,pmc,weather,0.0,rse,0.5111973285675049,nbeats,1.0
0.0,swing,weather,0.0,rse,0.5111973285675049,nbeats,1.0
0.0,pmc,solar,0.0,rse,0.3629501191749839,nbeats,1.0
0.0,swing,ettm2,0.0,rse,0.2685873508453369,nbeats,1.0
0.0,swing,solar,0.0,nrmse,0.08414043776577462,nbeats,1.0
0.0,pmc,ettm2,0.0,rse,0.2685873508453369,nbeats,1.0
0.0,sz,solar,0.0,rse,0.3629501191749839,nbeats,1.0
0.0,swing,ettm1,0.0,rse,0.4343809336423874,nbeats,1.0
0.0,swing,ettm1,0.0,nrmse,0.07382797449827194,nbeats,1.0
0.0,sz,solar,0.0,nrmse,0.08414043776577462,nbeats,1.0
0.0,sz,ettm2,0.0,nrmse,0.04924915917217732,nbeats,1.0
0.0,pmc,ettm2,0.0,nrmse,0.04924915917217732,nbeats,1.0
0.0,swing,ettm2,0.0,nrmse,0.04924915917217732,nbeats,1.0
0.0,pmc,solar,0.0,nrmse,0.08414043776577462,nbeats,1.0
0.0,swing,weather,0.0,nrmse,0.06998047232627869,nbeats,1.0
0.0,pmc,weather,0.0,nrmse,0.06998047232627869,nbeats,1.0
0.0,sz,weather,0.0,nrmse,0.06998047232627869,nbeats,1.0
0.0,swing,belhle02,0.0,nrmse,0.03170060366392136,nbeats,1.0
0.0,pmc,belhle02,0.0,nrmse,0.03170060366392136,nbeats,1.0
0.0,sz,ettm2,0.0,rse,0.2685873508453369,nbeats,1.0
0.0,sz,ettm2,0.0,corr,0.9651857316493988,nbeats,1.0
0.0,swing,ettm1,0.0,rmse,0.14890288561582565,nbeats,1.0
0.0,swing,ettm2,0.0,corr,0.9651857316493988,nbeats,1.0
0.0,pmc,ettm2,0.0,corr,0.9651857316493988,nbeats,1.0
0.0,sz,ettm1,0.0,mae,0.11302875354886055,nbeats,1.0
0.0,pmc,ettm1,0.0,mae,0.11302875354886055,nbeats,1.0
0.0,swing,solar,0.0,mae,0.17784005698069033,nbeats,1.0
0.0,sz,belhle02,0.0,mae,0.09016507863998413,nbeats,1.0
0.0,pmc,belhle02,0.0,mae,0.09016507863998413,nbeats,1.0
0.0,swing,belhle02,0.0,mae,0.09016507863998413,nbeats,1.0
0.0,sz,weather,0.0,mae,0.29639191925525665,nbeats,1.0
0.0,pmc,weather,0.0,mae,0.29639191925525665,nbeats,1.0
0.0,swing,weather,0.0,mae,0.29639191925525665,nbeats,1.0
0.0,pmc,solar,0.0,mae,0.17784005698069033,nbeats,1.0
